_id,latitudeWGS84,longitudeWGS84
306,43.23908353319163,-2.982621297359055
307,43.25207259261068,-2.994926542341827
308,43.23103541775705,-2.992826400086987
309,43.23107099549571,-2.992972570433436
310,43.23669207497677,-2.995451302872246
311,43.23950631708338,-2.992940485575283
312,43.24703308931883,-2.993865918739488
313,43.24236740558332,-2.994487676503482
314,43.24247341034854,-2.996921819308234
315,43.24247341034854,-2.996921819308234
316,43.24916861307813,-2.993799636230511
317,43.24916861307813,-2.993799636230511
318,43.24109961060947,-2.987470829776427
319,43.24117033538154,-2.987820863384539
320,43.2472569525838,-2.991563025488287
321,43.23492154118892,-3.007721946954419
322,43.23492154118892,-3.007721946954419
323,43.23210977302157,-2.737795111586308
555,43.20115902160389,-2.710440931206499
324,43.23110137760087,-2.737338904197347
325,43.18509376401046,-2.679539770958498
326,43.21725048897727,-2.726784331023025
327,43.22804398276833,-2.734474243124866
328,43.22387616946224,-2.725151131346408
329,43.21618523183155,-2.732212901036439
330,43.22034432186501,-2.728544490359101
331,43.22075250190282,-2.727629491276863
332,43.20626689713226,-2.705451837300929
333,43.22352429932183,-2.725833596386039
334,43.21592287130715,-2.732814421513494
335,43.22421750339405,-2.724829247606768
336,43.2207487182624,-2.727783912401122
337,43.21984026800872,-2.730691355530109
338,43.200063786546,-2.690627744920706
339,43.23980706476464,-2.732929803807782
340,43.21915463638017,-2.726059759986382
341,43.21779305187276,-2.731504463517091
342,43.21965942209835,-2.731574829940512
343,43.22651205177812,-2.709286283262543
344,43.22881884802035,-2.733073409207233
556,43.18491486366331,-2.679571136126265
345,43.20324209253175,-2.702553465586112
346,43.23361609665675,-2.75708201941853
347,43.23122919021475,-2.734914404346478
348,43.20933555359222,-2.701466412227212
349,43.22178274819132,-2.731674810446863
350,43.20402417440085,-2.70267831352168
351,43.19703882852566,-2.681995341728975
352,43.23734931758649,-2.706128113199723
353,43.19894542246909,-2.677640597903741
354,43.21352636321105,-2.742977107618301
398,43.22495680066797,-2.737685956099829
355,43.22985940405348,-2.728708386627166
356,43.18252099688195,-2.692424001249947
357,43.1855525263443,-2.699864184641813
358,43.19297520448077,-2.703104432735258
359,43.22484416906942,-2.704234490491843
360,43.22575269832286,-2.730108475069309
361,43.20602002140342,-2.713954184401966
362,43.20479621400678,-2.700946846938562
363,43.22228705961776,-2.723097418939755
364,43.25059731658425,-2.73255392100329
550,43.23409119725437,-2.723152693155571
365,43.23506528421287,-2.733621280631462
366,43.19910477579731,-2.696208083907006
367,43.21768126769172,-2.727173363966539
368,43.22517897912407,-2.723058680389466
369,43.21751389026633,-2.738341949526236
370,43.22159037854447,-2.737162807833577
371,43.22193192578945,-2.736918905894671
372,43.22744290221932,-2.73517472814914
373,43.21811687712948,-2.73959010654347
374,43.23497685189506,-2.72407539041492
375,inf,inf
376,43.2210379441402,-2.738497524310479
377,43.22172905550586,-2.709329091447002
